ViewIndex,FOV1,FOV2,FOV3,FOV4,PositionX,PositionY,PositionZ,QuaternionX,QuaternionY,QuaternionZ,QuaternionW,GazeQX,GazeQY,GazeQZ,GazeQW,GazePosX,GazePosY,GazePosZ,timestep
0,-0.942478,0.698132,-0.942478,0.733038,4.13054,-0.308704,0.663083,0.181557,0.855401,-0.0211269,0.484645,0.170686,0.781334,-0.0326749,0.59943,4.12849,-0.311571,0.667427,0
1,-0.698132,0.942478,-0.942478,0.733038,4.11753,-0.300574,0.639633,0.181557,0.855401,-0.0211269,0.484645,0.171416,0.79679,-0.028278,0.578742,4.11625,-0.304073,0.645752,10
0,-0.942478,0.698132,-0.942478,0.733038,4.13099,-0.307503,0.660993,0.185382,0.855084,-0.0283081,0.483388,0.185842,0.789046,-0.0520612,0.583231,4.12915,-0.310279,0.665233,27
1,-0.698132,0.942478,-0.942478,0.733038,4.11799,-0.299385,0.637533,0.185382,0.855084,-0.0283081,0.483388,0.186388,0.804374,-0.0480213,0.562082,4.11697,-0.302765,0.643528,37
0,-0.942478,0.698132,-0.942478,0.733038,4.13143,-0.306539,0.659014,0.189832,0.854963,-0.0338363,0.481515,0.189906,0.78839,-0.0599365,0.582053,4.12975,-0.309013,0.663126,55
1,-0.698132,0.942478,-0.942478,0.733038,4.11842,-0.298355,0.63558,0.189832,0.854963,-0.0338363,0.481515,0.190601,0.803706,-0.0558507,0.560901,4.11761,-0.301485,0.641401,64
0,-0.942478,0.698132,-0.942478,0.733038,4.13188,-0.305591,0.657205,0.191773,0.855373,-0.0381075,0.479695,0.193109,0.791261,-0.065188,0.576512,4.13028,-0.307846,0.661087,83
1,-0.698132,0.942478,-0.942478,0.733038,4.11881,-0.297421,0.633798,0.191773,0.855373,-0.0381075,0.479695,0.193929,0.80647,-0.0609879,0.555228,4.11816,-0.300295,0.639359,92
0,-0.942478,0.698132,-0.942478,0.733038,4.13217,-0.30474,0.655523,0.192491,0.855747,-0.0420807,0.478408,0.195411,0.791181,-0.0706836,0.575197,4.13067,-0.306777,0.659169,110
1,-0.698132,0.942478,-0.942478,0.733038,4.11905,-0.296636,0.632124,0.192491,0.855747,-0.0420807,0.478408,0.196376,0.806356,-0.066419,0.553909,4.11854,-0.299223,0.637445,120
0,-0.942478,0.698132,-0.942478,0.733038,4.13243,-0.304078,0.653896,0.194707,0.855974,-0.0448564,0.47685,0.189156,0.793694,-0.0638884,0.574621,4.13104,-0.305806,0.657346,138
1,-0.698132,0.942478,-0.942478,0.733038,4.11927,-0.295936,0.63053,0.194707,0.855974,-0.0448564,0.47685,0.190445,0.808731,-0.0592245,0.553334,4.11889,-0.29826,0.635631,147
