ViewIndex,FOV1,FOV2,FOV3,FOV4,PositionX,PositionY,PositionZ,QuaternionX,QuaternionY,QuaternionZ,QuaternionW,GazeQX,GazeQY,GazeQZ,GazeQW,GazePosX,GazePosY,GazePosZ,timestep
0,-0.942478,0.698132,-0.942478,0.733038,-1.87452,-0.349084,-2.25913,-0.10203,0.929402,-0.0340398,0.353049,-0.175568,0.870388,0.112137,0.446122,-1.87524,-0.349103,-2.26063,0
1,-0.698132,0.942478,-0.942478,0.733038,-1.90521,-0.358067,-2.28643,-0.10203,0.929402,-0.0340398,0.353049,-0.172148,0.883012,0.112835,0.421809,-1.9041,-0.357504,-2.28548,9
0,-0.942478,0.698132,-0.942478,0.733038,-1.875,-0.349452,-2.25917,-0.102265,0.927831,-0.0324479,0.357239,-0.180711,0.868709,0.122533,0.444606,-1.87558,-0.349218,-2.26042,28
1,-0.698132,0.942478,-0.942478,0.733038,-1.90543,-0.358404,-2.28675,-0.102265,0.927831,-0.0324479,0.357239,-0.17699,0.881445,0.123478,0.420098,-1.90427,-0.35759,-2.28548,36
0,-0.942478,0.698132,-0.942478,0.733038,-1.87559,-0.350146,-2.25946,-0.10094,0.925963,-0.0286286,0.362746,-0.181182,0.866448,0.12325,0.448609,-1.87594,-0.349575,-2.26032,56
1,-0.698132,0.942478,-0.942478,0.733038,-1.90571,-0.358877,-2.28745,-0.10094,0.925963,-0.0286286,0.362746,-0.177508,0.879294,0.124214,0.424151,-1.90439,-0.357913,-2.28566,66
0,-0.942478,0.698132,-0.942478,0.733038,-1.87636,-0.35003,-2.25954,-0.0961264,0.924943,-0.02512,0.366893,-0.182159,0.863531,0.12857,0.45233,-1.87628,-0.349974,-2.26034,83
1,-0.698132,0.942478,-0.942478,0.733038,-1.9063,-0.35828,-2.28787,-0.0961264,0.924943,-0.02512,0.366893,-0.178459,0.87651,0.129701,0.427856,-1.90452,-0.358147,-2.28597,91
0,-0.942478,0.698132,-0.942478,0.733038,-1.87704,-0.3499,-2.25927,-0.092836,0.92353,-0.0255536,0.371243,-0.180947,0.859138,0.129711,0.460777,-1.87674,-0.350212,-2.26038,111
1,-0.698132,0.942478,-0.942478,0.733038,-1.90676,-0.357906,-2.2879,-0.092836,0.92353,-0.0255536,0.371243,-0.17739,0.872287,0.131003,0.436448,-1.90477,-0.358162,-2.28631,119
