ViewIndex,FOV1,FOV2,FOV3,FOV4,PositionX,PositionY,PositionZ,QuaternionX,QuaternionY,QuaternionZ,QuaternionW,GazeQX,GazeQY,GazeQZ,GazeQW,GazePosX,GazePosY,GazePosZ,timestep
0,-0.942478,0.698132,-0.942478,0.733038,-2.06992,0.0813049,-0.0463502,0.0472999,-0.226385,0.0370532,0.972183,-0.0604286,-0.286422,0.00665538,0.956173,-2.08526,0.0806102,-0.0434588,0
1,-0.698132,0.942478,-0.942478,0.733038,-2.00714,0.0848571,-0.0152219,0.0472999,-0.226385,0.0370532,0.972183,-0.0632153,-0.260253,0.0109866,0.963406,-2.02615,0.0848945,-0.0167619,12
0,-0.942478,0.698132,-0.942478,0.733038,-2.06095,0.0818473,-0.0470711,0.0464966,-0.23296,0.033304,0.970803,-0.0618674,-0.294247,0.00214146,0.953722,-2.07715,0.0810188,-0.0442436,30
1,-0.698132,0.942478,-0.942478,0.733038,-1.99856,0.084864,-0.0151197,0.0464966,-0.23296,0.033304,0.970803,-0.0645947,-0.268126,0.0064445,0.961194,-2.01847,0.0848254,-0.0165503,43
0,-0.942478,0.698132,-0.942478,0.733038,-2.04174,0.0826256,-0.0483775,0.0449332,-0.244917,0.0247263,0.968187,-0.0802371,-0.308003,-0.00959864,0.947948,-2.06785,0.0814496,-0.0451269,62
1,-0.698132,0.942478,-0.942478,0.733038,-1.98009,0.0844407,-0.0149485,0.0449332,-0.244917,0.0247263,0.968187,-0.0832755,-0.281859,-0.00487749,0.955823,-2.00958,0.0847229,-0.0165017,75
0,-0.942478,0.698132,-0.942478,0.733038,-2.02947,0.0834619,-0.0480562,0.0459079,-0.249301,0.0192048,0.967147,-0.132552,-0.33901,-0.0397319,0.93055,-2.05707,0.0818074,-0.0460797,94
1,-0.698132,0.942478,-0.942478,0.733038,-1.96808,0.0844623,-0.0141002,0.0459079,-0.249301,0.0192048,0.967147,-0.137045,-0.312635,-0.0337289,0.93933,-1.9992,0.0844498,-0.0165968,106
0,-0.942478,0.698132,-0.942478,0.733038,-2.01578,0.0852122,-0.0466191,0.0522286,-0.252844,0.0116593,0.966026,-0.136326,-0.346952,-0.0521094,0.926458,-2.03808,0.0829723,-0.0463536,147
1,-0.698132,0.942478,-0.942478,0.733038,-1.95461,0.0849397,-0.0122603,0.0522286,-0.252844,0.0116593,0.966026,-0.140714,-0.320572,-0.0460024,0.935584,-1.98079,0.0843928,-0.0156844,157
0,-0.942478,0.698132,-0.942478,0.733038,-1.98902,0.0884809,-0.0444228,0.0637835,-0.260421,-0.000729199,0.963386,-0.132545,-0.340051,-0.0569318,0.929277,-2.0241,0.0841929,-0.0458954,179
1,-0.698132,0.942478,-0.942478,0.733038,-1.92838,0.0860517,-0.00922552,0.0637835,-0.260421,-0.000729199,0.963386,-0.136455,-0.31354,-0.050658,0.938353,-1.96715,0.084581,-0.0145708,189
0,-0.942478,0.698132,-0.942478,0.733038,-1.97368,0.089368,-0.0422821,0.0712337,-0.260836,-0.00546322,0.962736,-0.128005,-0.34265,-0.0641572,0.928488,-2.01073,0.0854882,-0.0450375,208
