ViewIndex,FOV1,FOV2,FOV3,FOV4,PositionX,PositionY,PositionZ,QuaternionX,QuaternionY,QuaternionZ,QuaternionW,GazeQX,GazeQY,GazeQZ,GazeQW,GazePosX,GazePosY,GazePosZ,timestep
0,-0.942478,0.698132,-0.942478,0.733038,-1.04234,0.549772,1.59284,0.545356,0.029657,-0.552887,0.629304,0.46387,-2.45497e-05,-0.60028,0.651528,-1.03952,0.545334,1.58946,0
1,-0.698132,0.942478,-0.942478,0.733038,-1.01519,0.503204,1.5479,0.545356,0.029657,-0.552887,0.629304,0.479441,0.0161166,-0.585372,0.653618,-1.01426,0.501822,1.5483,13
0,-0.942478,0.698132,-0.942478,0.733038,-1.04131,0.550733,1.59342,0.550844,0.0217586,-0.551504,0.626051,0.460944,0.000538476,-0.601252,0.652707,-1.04036,0.546974,1.58954,28
1,-0.698132,0.942478,-0.942478,0.733038,-1.01388,0.50395,1.54887,0.550844,0.0217586,-0.551504,0.626051,0.47653,0.0167679,-0.586516,0.654704,-1.01511,0.503569,1.54826,44
0,-0.942478,0.698132,-0.942478,0.733038,-1.04181,0.551263,1.59298,0.553913,0.0133388,-0.549961,0.624937,0.468219,-0.0208088,-0.606866,0.641913,-1.04066,0.548076,1.59006,58
1,-0.698132,0.942478,-0.942478,0.733038,-1.01411,0.504057,1.54905,0.553913,0.0133388,-0.549961,0.624937,0.483937,-0.00445246,-0.592831,0.643691,-1.01533,0.504652,1.54886,73
0,-0.942478,0.698132,-0.942478,0.733038,-1.04308,0.55223,1.5928,0.552838,0.0130336,-0.549356,0.626425,0.471995,-0.0256359,-0.604777,0.640943,-1.04099,0.549255,1.59092,110
1,-0.698132,0.942478,-0.942478,0.733038,-1.01528,0.504937,1.54902,0.552838,0.0130336,-0.549356,0.626425,0.487684,-0.00924421,-0.590747,0.642726,-1.01544,0.505617,1.55008,123
0,-0.942478,0.698132,-0.942478,0.733038,-1.04325,0.554184,1.59251,0.551557,0.0129744,-0.548496,0.628306,0.471405,-0.0263157,-0.604093,0.641994,-1.04102,0.550069,1.59085,139
1,-0.698132,0.942478,-0.942478,0.733038,-1.01532,0.506815,1.5489,0.551557,0.0129744,-0.548496,0.628306,0.487069,-0.00991013,-0.590049,0.643823,-1.01537,0.506351,1.55016,153
0,-0.942478,0.698132,-0.942478,0.733038,-1.04359,0.555656,1.59218,0.551801,0.0133917,-0.548081,0.628446,0.471121,-0.0268183,-0.603602,0.642644,-1.04137,0.550852,1.59087,167
1,-0.698132,0.942478,-0.942478,0.733038,-1.01559,0.508345,1.54854,0.551801,0.0133917,-0.548081,0.628446,0.48677,-0.0103949,-0.589565,0.644484,-1.01565,0.507093,1.55026,182
0,-0.942478,0.698132,-0.942478,0.733038,-1.04312,0.557123,1.59196,0.553144,0.0139611,-0.545213,0.629746,0.473556,-0.0230488,-0.599895,0.644468,-1.04184,0.552032,1.59077,197
1,-0.698132,0.942478,-0.942478,0.733038,-1.01469,0.510013,1.54839,0.553144,0.0139611,-0.545213,0.629746,0.489146,-0.00659285,-0.585719,0.64624,-1.01599,0.508276,1.55025,212
0,-0.942478,0.698132,-0.942478,0.733038,-1.04308,0.558449,1.59157,0.552745,0.0152147,-0.54384,0.631252,0.473769,-0.0207054,-0.597679,0.646447,-1.04216,0.553282,1.5907,226
1,-0.698132,0.942478,-0.942478,0.733038,-1.01445,0.511441,1.54802,0.552745,0.0152147,-0.54384,0.631252,0.489306,-0.0042325,-0.583417,0.648218,-1.01612,0.50958,1.55024,242
0,-0.942478,0.698132,-0.942478,0.733038,-1.04215,0.559982,1.59175,0.551963,0.0181532,-0.543639,0.632031,0.469312,-0.0217463,-0.59833,0.649057,-1.04203,0.555605,1.59037,276
1,-0.698132,0.942478,-0.942478,0.733038,-1.0135,0.513159,1.54802,0.551963,0.0181532,-0.543639,0.632031,0.484809,-0.00524042,-0.584153,0.650921,-1.01569,0.512048,1.54995,289
0,-0.942478,0.698132,-0.942478,0.733038,-1.04084,0.563444,1.59075,0.553521,0.0192449,-0.542401,0.6317,0.470762,-0.0218711,-0.597423,0.648838,-1.04153,0.557181,1.59016,306
1,-0.698132,0.942478,-0.942478,0.733038,-1.012,0.516844,1.54691,0.553521,0.0192449,-0.542401,0.6317,0.486249,-0.00533236,-0.583282,0.650627,-1.01508,0.51374,1.54969,319
0,-0.942478,0.698132,-0.942478,0.733038,-1.0401,0.565543,1.58957,0.554487,0.0179615,-0.541655,0.631531,0.471343,-0.0213335,-0.596719,0.649081,-1.04079,0.558873,1.58972,334
1,-0.698132,0.942478,-0.942478,0.733038,-1.01115,0.518925,1.54582,0.554487,0.0179615,-0.541655,0.631531,0.486812,-0.0047899,-0.582563,0.650854,-1.01424,0.515524,1.54921,348
0,-0.942478,0.698132,-0.942478,0.733038,-1.03992,0.567808,1.58825,0.552649,0.0193432,-0.542922,0.632013,0.47178,-0.0227839,-0.596984,0.648471,-1.04011,0.560738,1.58913,363
1,-0.698132,0.942478,-0.942478,0.733038,-1.01116,0.521143,1.54442,0.552649,0.0193432,-0.542922,0.632013,0.487252,-0.00623409,-0.582873,0.650235,-1.01348,0.517447,1.54861,378
0,-0.942478,0.698132,-0.942478,0.733038,-1.03944,0.570146,1.5862,0.549725,0.0209135,-0.543059,0.634391,0.471261,-0.0221124,-0.596831,0.649013,-1.03952,0.562839,1.58819,393
1,-0.698132,0.942478,-0.942478,0.733038,-1.01071,0.523401,1.54243,0.549725,0.0209135,-0.543059,0.634391,0.48673,-0.0055474,-0.582733,0.650758,-1.01288,0.519571,1.54765,408
0,-0.942478,0.698132,-0.942478,0.733038,-1.03861,0.5733,1.58409,0.543743,0.0233376,-0.543195,0.639327,0.452511,-0.0271909,-0.60606,0.653595,-1.03887,0.566918,1.58588,443
1,-0.698132,0.942478,-0.942478,0.733038,-1.00992,0.526334,1.54053,0.543743,0.0233376,-0.543195,0.639327,0.468002,-0.0106499,-0.592311,0.655765,-1.01229,0.523568,1.54539,455
0,-0.942478,0.698132,-0.942478,0.733038,-1.03625,0.579324,1.57999,0.537277,0.0262885,-0.543625,0.644294,0.388041,-0.000555404,-0.620353,0.681605,-1.03814,0.569578,1.584,472
1,-0.698132,0.942478,-0.942478,0.733038,-1.00764,0.532143,1.53661,0.537277,0.0262885,-0.543625,0.644294,0.403043,0.0159104,-0.605888,0.685714,-1.01158,0.526136,1.54359,485
0,-0.942478,0.698132,-0.942478,0.733038,-1.03486,0.582852,1.57729,0.53518,0.0269107,-0.544054,0.645649,0.384669,0.000466559,-0.61993,0.683898,-1.03717,0.572415,1.58198,501
1,-0.698132,0.942478,-0.942478,0.733038,-1.00632,0.535567,1.53398,0.53518,0.0269107,-0.544054,0.645649,0.399664,0.0170115,-0.605538,0.687971,-1.01064,0.528879,1.54166,514
