ViewIndex,FOV1,FOV2,FOV3,FOV4,PositionX,PositionY,PositionZ,QuaternionX,QuaternionY,QuaternionZ,QuaternionW,GazeQX,GazeQY,GazeQZ,GazeQW,GazePosX,GazePosY,GazePosZ,timestep
0,-0.942478,0.698132,-0.942478,0.733038,2.50398,1.30831,1.15038,0.0392504,0.360629,-0.0905076,0.927477,0.111365,0.385002,-0.120234,0.908248,2.50739,1.30878,1.14893,0
1,-0.698132,0.942478,-0.942478,0.733038,2.5546,1.29854,1.10309,0.0392504,0.360629,-0.0905076,0.927477,0.112688,0.409817,-0.120634,0.897106,2.55442,1.29946,1.10503,9
0,-0.942478,0.698132,-0.942478,0.733038,2.50326,1.30801,1.15044,0.0376034,0.362377,-0.0898813,0.926925,0.110375,0.387951,-0.119134,0.907259,2.50662,1.30844,1.1488,28
1,-0.698132,0.942478,-0.942478,0.733038,2.55371,1.29826,1.10297,0.0376034,0.362377,-0.0898813,0.926925,0.111639,0.412723,-0.119547,0.89605,2.55362,1.29923,1.10486,37
0,-0.942478,0.698132,-0.942478,0.733038,2.50254,1.30777,1.15061,0.0368583,0.364621,-0.0899085,0.926072,0.0957528,0.413786,-0.112103,0.898357,2.50592,1.3081,1.14877,56
1,-0.698132,0.942478,-0.942478,0.733038,2.55277,1.298,1.1029,0.0368583,0.364621,-0.0899085,0.926072,0.0970485,0.438012,-0.112023,0.886666,2.55285,1.29894,1.10474,64
0,-0.942478,0.698132,-0.942478,0.733038,2.50196,1.30738,1.15132,0.0357442,0.367773,-0.0897731,0.924882,0.0615671,0.433971,-0.0953074,0.893753,2.50517,1.30769,1.14909,83
1,-0.698132,0.942478,-0.942478,0.733038,2.55186,1.29761,1.10328,0.0357442,0.367773,-0.0897731,0.924882,0.0634977,0.457676,-0.094423,0.881808,2.55196,1.29857,1.1049,91
0,-0.942478,0.698132,-0.942478,0.733038,2.50134,1.30738,1.15205,0.0346465,0.371044,-0.0905767,0.923537,0.0591931,0.436236,-0.094556,0.892891,2.50448,1.30733,1.14959,111
1,-0.698132,0.942478,-0.942478,0.733038,2.55089,1.29747,1.10367,0.0346465,0.371044,-0.0905767,0.923537,0.0611467,0.459908,-0.0936745,0.880892,2.55106,1.29821,1.10518,120
0,-0.942478,0.698132,-0.942478,0.733038,2.50087,1.30739,1.15255,0.034519,0.374191,-0.0919589,0.922135,0.0581565,0.438269,-0.0949729,0.891918,2.50383,1.30716,1.14993,139
1,-0.698132,0.942478,-0.942478,0.733038,2.55005,1.29733,1.10383,0.034519,0.374191,-0.0919589,0.922135,0.0601217,0.46192,-0.0941179,0.879862,2.55014,1.29798,1.10525,147
0,-0.942478,0.698132,-0.942478,0.733038,2.50041,1.30741,1.15321,0.0334411,0.377519,-0.0933595,0.920676,0.0574443,0.440955,-0.0957818,0.890553,2.50326,1.3071,1.15032,167
1,-0.698132,0.942478,-0.942478,0.733038,2.5492,1.29715,1.10414,0.0334411,0.377519,-0.0933595,0.920676,0.0594291,0.464569,-0.0949437,0.878425,2.54929,1.29783,1.10537,175
0,-0.942478,0.698132,-0.942478,0.733038,2.49985,1.30788,1.15359,0.0330663,0.380854,-0.0946418,0.919184,0.0556208,0.442319,-0.0964578,0.889919,2.50262,1.30722,1.15078,195
1,-0.698132,0.942478,-0.942478,0.733038,2.54826,1.29747,1.10417,0.0330663,0.380854,-0.0946418,0.919184,0.0576594,0.465925,-0.0956255,0.87775,2.54833,1.29782,1.10554,203
0,-0.942478,0.698132,-0.942478,0.733038,2.49948,1.30784,1.15406,0.0339464,0.383491,-0.0956815,0.917947,0.0549088,0.44114,-0.0976667,0.890417,2.50212,1.3073,1.15126,222
1,-0.698132,0.942478,-0.942478,0.733038,2.54758,1.29737,1.10435,0.0339464,0.383491,-0.0956815,0.917947,0.0569911,0.464797,-0.0968557,0.878257,2.54751,1.29779,1.10571,230
0,-0.942478,0.698132,-0.942478,0.733038,2.49906,1.30781,1.15462,0.0331383,0.385786,-0.0972519,0.916849,0.0544782,0.440607,-0.0989275,0.890568,2.50168,1.30737,1.15173,250
1,-0.698132,0.942478,-0.942478,0.733038,2.54687,1.29712,1.10468,0.0331383,0.385786,-0.0972519,0.916849,0.0566026,0.464296,-0.0981297,0.878405,2.54677,1.29775,1.1059,258
0,-0.942478,0.698132,-0.942478,0.733038,2.49865,1.30806,1.15503,0.0323454,0.388391,-0.0984136,0.915654,0.0539784,0.440886,-0.100418,0.890294,2.50117,1.30744,1.15225,278
1,-0.698132,0.942478,-0.942478,0.733038,2.54615,1.29721,1.10483,0.0323454,0.388391,-0.0984136,0.915654,0.0561448,0.464588,-0.0996395,0.878111,2.54594,1.29767,1.10615,286
0,-0.942478,0.698132,-0.942478,0.733038,2.49814,1.30816,1.15542,0.0325263,0.390752,-0.0995613,0.914518,0.0536098,0.442882,-0.10168,0.889181,2.50067,1.30754,1.15272,306
1,-0.698132,0.942478,-0.942478,0.733038,2.54535,1.2972,1.10497,0.0325263,0.390752,-0.0995613,0.914518,0.0558097,0.466558,-0.10091,0.876942,2.54516,1.29764,1.10637,313
0,-0.942478,0.698132,-0.942478,0.733038,2.49774,1.30825,1.15588,0.032028,0.392988,-0.10082,0.913438,0.0534095,0.445127,-0.102868,0.887934,2.50029,1.30764,1.15313,333
1,-0.698132,0.942478,-0.942478,0.733038,2.54466,1.29712,1.1052,0.032028,0.392988,-0.10082,0.913438,0.0556394,0.468769,-0.102102,0.875634,2.54451,1.29762,1.10656,341
0,-0.942478,0.698132,-0.942478,0.733038,2.49721,1.30845,1.15633,0.0311857,0.395507,-0.102256,0.91222,0.0545345,0.44534,-0.105192,0.887487,2.49985,1.30776,1.15358,361
1,-0.698132,0.942478,-0.942478,0.733038,2.54382,1.29713,1.10541,0.0311857,0.395507,-0.102256,0.91222,0.056771,0.468995,-0.10448,0.87516,2.54378,1.29757,1.10677,370
