ViewIndex,FOV1,FOV2,FOV3,FOV4,PositionX,PositionY,PositionZ,QuaternionX,QuaternionY,QuaternionZ,QuaternionW,GazeQX,GazeQY,GazeQZ,GazeQW,GazePosX,GazePosY,GazePosZ,timestep
0,-0.942478,0.698132,-0.942478,0.733038,-1.21645,-0.106754,1.88154,0.0413243,-0.38845,0.00170575,-0.920541,0.0656231,-0.317432,-0.0102824,-0.945952,-1.21565,-0.106526,1.88108,0
1,-0.698132,0.942478,-0.942478,0.733038,-1.19693,-0.107739,1.86155,0.0413243,-0.38845,0.00170575,-0.920541,0.0656472,-0.342661,-0.00997019,-0.93711,-1.19832,-0.107481,1.86172,6
0,-0.942478,0.698132,-0.942478,0.733038,-1.21647,-0.106794,1.88145,0.0428909,-0.382696,0.000977874,-0.922878,0.0660019,-0.311888,-0.0103214,-0.947767,-1.21569,-0.106577,1.88103,14
1,-0.698132,0.942478,-0.942478,0.733038,-1.19671,-0.107762,1.86171,0.0428909,-0.382696,0.000977874,-0.922878,0.0660353,-0.337168,-0.0100004,-0.939072,-1.19813,-0.107521,1.86188,19
0,-0.942478,0.698132,-0.942478,0.733038,-1.21675,-0.107145,1.88132,0.0449731,-0.376506,0.000905856,-0.925321,0.052272,-0.237237,-0.00801135,-0.970011,-1.21574,-0.106651,1.88097,27
1,-0.698132,0.942478,-0.942478,0.733038,-1.19672,-0.108139,1.86185,0.0449731,-0.376506,0.000905856,-0.925321,0.0525083,-0.262171,-0.00730416,-0.963564,-1.19797,-0.107585,1.86202,33
0,-0.942478,0.698132,-0.942478,0.733038,-1.21689,-0.107287,1.8811,0.0480184,-0.368928,0.0036736,-0.92821,0.0533668,-0.231177,-0.00818521,-0.971413,-1.21581,-0.106756,1.88089,41
1,-0.698132,0.942478,-0.942478,0.733038,-1.19655,-0.108468,1.86196,0.0480184,-0.368928,0.0036736,-0.92821,0.0536112,-0.256149,-0.00744942,-0.965121,-1.1978,-0.107698,1.86216,48
0,-0.942478,0.698132,-0.942478,0.733038,-1.2171,-0.107186,1.88072,0.0510974,-0.359165,0.00953117,-0.931826,0.0551031,-0.224494,-0.00760251,-0.972887,-1.2159,-0.106867,1.88078,55
1,-0.698132,0.942478,-0.942478,0.733038,-1.19636,-0.108709,1.86203,0.0510974,-0.359165,0.00953117,-0.931826,0.0553363,-0.249508,-0.00682177,-0.966766,-1.19763,-0.107865,1.8623,62
0,-0.942478,0.698132,-0.942478,0.733038,-1.21719,-0.107074,1.8802,0.053115,-0.348582,0.0150133,-0.935652,0.0527105,-0.154277,-0.00740051,-0.986593,-1.21602,-0.106955,1.88061,69
1,-0.698132,0.942478,-0.942478,0.733038,-1.19604,-0.108894,1.86201,0.053115,-0.348582,0.0150133,-0.935652,0.0529886,-0.178387,-0.00649023,-0.982511,-1.19747,-0.108068,1.86243,75
0,-0.942478,0.698132,-0.942478,0.733038,-1.21711,-0.107124,1.87964,0.0550781,-0.337156,0.0187233,-0.93965,0.0551085,-0.146277,-0.00526591,-0.987693,-1.21613,-0.10701,1.88039,83
1,-0.698132,0.942478,-0.942478,0.733038,-1.19553,-0.109145,1.86198,0.0550781,-0.337156,0.0187233,-0.93965,0.0553367,-0.170418,-0.00429663,-0.983808,-1.19729,-0.108266,1.86252,89
0,-0.942478,0.698132,-0.942478,0.733038,-1.21682,-0.107281,1.87899,0.0572081,-0.323946,0.02375,-0.944046,0.0622332,-0.128514,-0.00349207,-0.989747,-1.21623,-0.107075,1.88008,97
1,-0.698132,0.942478,-0.942478,0.733038,-1.19476,-0.109571,1.86196,0.0572081,-0.323946,0.02375,-0.944046,0.062508,-0.152533,-0.00258901,-0.986316,-1.19704,-0.108501,1.86259,103
0,-0.942478,0.698132,-0.942478,0.733038,-1.21653,-0.107341,1.87837,0.0600457,-0.308133,0.0317667,-0.948915,0.0649949,-0.118452,-0.000386594,-0.99083,-1.21626,-0.107151,1.87972,111
1,-0.698132,0.942478,-0.942478,0.733038,-1.19394,-0.110061,1.86213,0.0600457,-0.308133,0.0317667,-0.948915,0.0651996,-0.142503,0.000584823,-0.987645,-1.19673,-0.108763,1.86264,117
0,-0.942478,0.698132,-0.942478,0.733038,-1.21613,-0.107276,1.87764,0.0618158,-0.29094,0.0390201,-0.953945,0.0714567,-0.0873801,0.00276176,-0.993605,-1.21622,-0.107225,1.87926,125
1,-0.698132,0.942478,-0.942478,0.733038,-1.19299,-0.110363,1.86226,0.0618158,-0.29094,0.0390201,-0.953945,0.0716929,-0.11105,0.00371877,-0.991219,-1.19627,-0.109083,1.86269,131
0,-0.942478,0.698132,-0.942478,0.733038,-1.21563,-0.107154,1.87688,0.061524,-0.27458,0.0427013,-0.958643,0.0745803,-0.0746512,0.0071987,-0.994391,-1.21611,-0.107262,1.87877,138
