ViewIndex,FOV1,FOV2,FOV3,FOV4,PositionX,PositionY,PositionZ,QuaternionX,QuaternionY,QuaternionZ,QuaternionW,GazeQX,GazeQY,GazeQZ,GazeQW,GazePosX,GazePosY,GazePosZ,timestep
0,-0.942478,0.698132,-0.942478,0.733038,-1.27676,-0.320869,1.13314,-0.059888,-0.0936239,0.0200014,-0.993604,0.021851,-0.0160463,0.0261945,-0.999289,-1.27438,-0.321153,1.13178,0
1,-0.698132,0.942478,-0.942478,0.733038,-1.24926,-0.321669,1.12786,-0.059888,-0.0936239,0.0200014,-0.993604,0.021508,-0.0430416,0.0226531,-0.998585,-1.24874,-0.322145,1.12753,11
0,-0.942478,0.698132,-0.942478,0.733038,-1.27772,-0.320726,1.13393,-0.062796,-0.102518,0.0180349,-0.992583,0.0250886,-0.0170989,0.0244287,-0.99924,-1.27519,-0.321009,1.13247,28
1,-0.698132,0.942478,-0.942478,0.733038,-1.25031,-0.321368,1.12817,-0.062796,-0.102518,0.0180349,-0.992583,0.0248772,-0.0440736,0.0206466,-0.998505,-1.24963,-0.321852,1.12782,36
0,-0.942478,0.698132,-0.942478,0.733038,-1.27858,-0.320688,1.13477,-0.0648694,-0.1108,0.0156735,-0.9916,0.0222539,-0.0251331,0.02193,-0.999196,-1.27607,-0.320867,1.1332,55
1,-0.698132,0.942478,-0.942478,0.733038,-1.25126,-0.321156,1.12855,-0.0648694,-0.1108,0.0156735,-0.9916,0.022075,-0.0520897,0.0180686,-0.998235,-1.25057,-0.321566,1.12814,66
0,-0.942478,0.698132,-0.942478,0.733038,-1.27947,-0.32091,1.13562,-0.0652224,-0.11817,0.0129525,-0.990764,0.0210436,-0.018113,0.0211899,-0.99939,-1.27699,-0.320791,1.13399,83
1,-0.698132,0.942478,-0.942478,0.733038,-1.25224,-0.321198,1.12901,-0.0652224,-0.11817,0.0129525,-0.990764,0.0210591,-0.0449625,0.0172697,-0.998617,-1.25158,-0.321327,1.12851,94
0,-0.942478,0.698132,-0.942478,0.733038,-1.28039,-0.321128,1.1365,-0.0648771,-0.12576,0.0108585,-0.989878,0.0285426,-0.0181567,0.0192522,-0.999242,-1.27787,-0.320844,1.13478,111
1,-0.698132,0.942478,-0.942478,0.733038,-1.25326,-0.321273,1.12948,-0.0648771,-0.12576,0.0108585,-0.989878,0.0287439,-0.0449847,0.015063,-0.99846,-1.25254,-0.321226,1.12892,119
0,-0.942478,0.698132,-0.942478,0.733038,-1.28127,-0.321381,1.13739,-0.064962,-0.132387,0.00955499,-0.989021,0.0332608,-0.0144699,0.0181991,-0.999176,-1.27876,-0.320989,1.13562,139
1,-0.698132,0.942478,-0.942478,0.733038,-1.25424,-0.321429,1.13002,-0.064962,-0.132387,0.00955499,-0.989021,0.0336651,-0.0412248,0.0138666,-0.998486,-1.25352,-0.321236,1.12938,149
0,-0.942478,0.698132,-0.942478,0.733038,-1.28221,-0.32165,1.13826,-0.0650505,-0.138686,0.00752008,-0.988169,0.0362142,-0.0147142,0.0167219,-0.999096,-1.27972,-0.321199,1.1365,167
1,-0.698132,0.942478,-0.942478,0.733038,-1.25527,-0.32156,1.13056,-0.0650505,-0.138686,0.00752008,-0.988169,0.0367621,-0.0414135,0.0122971,-0.99839,-1.25457,-0.321322,1.1299,177
0,-0.942478,0.698132,-0.942478,0.733038,-1.2833,-0.321836,1.13917,-0.0658259,-0.14608,0.00515162,-0.987067,0.0373429,-0.00886675,0.0161843,-0.999132,-1.28067,-0.321391,1.13723,195
1,-0.698132,0.942478,-0.942478,0.733038,-1.25648,-0.321582,1.13107,-0.0658259,-0.14608,0.00515162,-0.987067,0.0380887,-0.0354324,0.0117376,-0.998577,-1.25561,-0.321389,1.1303,205
