ViewIndex,FOV1,FOV2,FOV3,FOV4,PositionX,PositionY,PositionZ,QuaternionX,QuaternionY,QuaternionZ,QuaternionW,GazeQX,GazeQY,GazeQZ,GazeQW,GazePosX,GazePosY,GazePosZ,timestep
0,-0.942478,0.698132,-0.942478,0.733038,-1.80267,0.949263,-1.34192,0.0427636,0.869646,0.271809,0.409887,0.0269292,0.852646,0.307769,0.421364,-1.80949,0.950318,-1.34485,0
1,-0.698132,0.942478,-0.942478,0.733038,-1.89503,0.990836,-1.43839,0.0427636,0.869646,0.271809,0.409887,0.0205595,0.863689,0.309313,0.397422,-1.89396,0.989532,-1.43556,8
0,-0.942478,0.698132,-0.942478,0.733038,-1.80116,0.948991,-1.34289,0.0398153,0.871056,0.271743,0.407225,0.00954082,0.839261,0.342803,0.421943,-1.80799,0.950544,-1.3452,28
1,-0.698132,0.942478,-0.942478,0.733038,-1.8942,0.989652,-1.4391,0.0398153,0.871056,0.271743,0.407225,0.00412242,0.850344,0.344813,0.397496,-1.89305,0.989429,-1.43548,36
0,-0.942478,0.698132,-0.942478,0.733038,-1.8002,0.947898,-1.34366,0.0392325,0.871682,0.274807,0.403871,-0.0256687,0.80065,0.412567,0.433692,-1.80658,0.95017,-1.34522,56
1,-0.698132,0.942478,-0.942478,0.733038,-1.89402,0.988516,-1.43914,0.0392325,0.871682,0.274807,0.403871,-0.0292214,0.81223,0.416009,0.407878,-1.89228,0.988609,-1.4351,63
0,-0.942478,0.698132,-0.942478,0.733038,-1.79842,0.946531,-1.34402,0.0396866,0.870586,0.280276,0.402432,-0.0313141,0.795137,0.424746,0.431703,-1.80522,0.949457,-1.34564,84
1,-0.698132,0.942478,-0.942478,0.733038,-1.89255,0.987752,-1.43892,0.0396866,0.870586,0.280276,0.402432,-0.0346135,0.806722,0.428385,0.405572,-1.89149,0.987766,-1.43503,91
0,-0.942478,0.698132,-0.942478,0.733038,-1.79696,0.946444,-1.34281,0.0368999,0.871134,0.280118,0.40162,-0.0316929,0.795062,0.427074,0.42951,-1.80378,0.948749,-1.34614,111
1,-0.698132,0.942478,-0.942478,0.733038,-1.89134,0.98691,-1.4378,0.0368999,0.871134,0.280118,0.40162,-0.0350554,0.806592,0.430679,0.403357,-1.89051,0.986964,-1.43512,120
0,-0.942478,0.698132,-0.942478,0.733038,-1.79597,0.946645,-1.3431,0.0348751,0.871746,0.279208,0.401106,-0.0327634,0.794325,0.428363,0.429512,-1.80221,0.948276,-1.34623,139
1,-0.698132,0.942478,-0.942478,0.733038,-1.8905,0.986481,-1.43819,0.0348751,0.871746,0.279208,0.401106,-0.0361865,0.805846,0.43197,0.403367,-1.88933,0.986147,-1.43498,147
0,-0.942478,0.698132,-0.942478,0.733038,-1.79525,0.945751,-1.34327,0.0365594,0.871722,0.279979,0.40047,-0.0318577,0.794903,0.426265,0.430594,-1.80115,0.947817,-1.34617,167
1,-0.698132,0.942478,-0.942478,0.733038,-1.88989,0.986035,-1.43807,0.0365594,0.871722,0.279979,0.40047,-0.0354014,0.806418,0.429859,0.404546,-1.88855,0.985433,-1.43475,175
0,-0.942478,0.698132,-0.942478,0.733038,-1.79457,0.94537,-1.34374,0.0378755,0.872889,0.280604,0.397355,-0.029612,0.795324,0.423533,0.432669,-1.80014,0.947474,-1.34637,195
1,-0.698132,0.942478,-0.942478,0.733038,-1.88988,0.985812,-1.4378,0.0378755,0.872889,0.280604,0.397355,-0.0332917,0.806837,0.427161,0.406742,-1.88784,0.985035,-1.43468,203
0,-0.942478,0.698132,-0.942478,0.733038,-1.79296,0.945028,-1.34493,0.0388214,0.873755,0.283964,0.392949,-0.0289946,0.794885,0.425046,0.432034,-1.79905,0.947204,-1.3468,223
1,-0.698132,0.942478,-0.942478,0.733038,-1.88922,0.985735,-1.4379,0.0388214,0.873755,0.283964,0.392949,-0.0327017,0.80636,0.428724,0.406091,-1.8872,0.984792,-1.43465,230
0,-0.942478,0.698132,-0.942478,0.733038,-1.79229,0.944525,-1.34663,0.0379722,0.87335,0.286243,0.392279,-0.0276108,0.795342,0.426252,0.430091,-1.79788,0.946842,-1.34727,250
1,-0.698132,0.942478,-0.942478,0.733038,-1.88872,0.985217,-1.43944,0.0379722,0.87335,0.286243,0.392279,-0.0313873,0.806744,0.429936,0.404146,-1.88657,0.984538,-1.43454,258
0,-0.942478,0.698132,-0.942478,0.733038,-1.79139,0.944187,-1.34713,0.0426684,0.875234,0.288508,0.385886,-0.0264955,0.79543,0.428411,0.427847,-1.79692,0.946475,-1.34802,278
1,-0.698132,0.942478,-0.942478,0.733038,-1.8891,0.985781,-1.43817,0.0426684,0.875234,0.288508,0.385886,-0.030329,0.80676,0.432101,0.40188,-1.88609,0.984358,-1.4347,287
0,-0.942478,0.698132,-0.942478,0.733038,-1.79123,0.943607,-1.34863,0.0442713,0.875608,0.292074,0.382156,-0.0237016,0.794152,0.430981,0.427803,-1.79617,0.946104,-1.34916,306
1,-0.698132,0.942478,-0.942478,0.733038,-1.8897,0.985679,-1.43863,0.0442713,0.875608,0.292074,0.382156,-0.0276131,0.805419,0.434818,0.401834,-1.88607,0.984393,-1.4349,314
0,-0.942478,0.698132,-0.942478,0.733038,-1.78855,0.939503,-1.3501,0.0408891,0.876035,0.296851,0.37785,-0.0221211,0.794013,0.434352,0.424725,-1.79538,0.945392,-1.35032,334
1,-0.698132,0.942478,-0.942478,0.733038,-1.88802,0.980904,-1.43931,0.0408891,0.876035,0.296851,0.37785,-0.0260877,0.805174,0.438232,0.398707,-1.88603,0.983928,-1.43516,342
0,-0.942478,0.698132,-0.942478,0.733038,-1.786,0.935627,-1.35123,0.0333802,0.876112,0.304632,0.372174,-0.0221125,0.793402,0.438111,0.421999,-1.7944,0.944228,-1.35144,362
1,-0.698132,0.942478,-0.942478,0.733038,-1.88682,0.975527,-1.43961,0.0333802,0.876112,0.304632,0.372174,-0.0261985,0.804472,0.441986,0.395964,-1.8859,0.982586,-1.43543,370
0,-0.942478,0.698132,-0.942478,0.733038,-1.78342,0.930217,-1.3534,0.0222778,0.875183,0.315375,0.366192,-0.0253564,0.793167,0.444537,0.415487,-1.7924,0.941411,-1.35282,389
1,-0.698132,0.942478,-0.942478,0.733038,-1.88565,0.96798,-1.44109,0.0222778,0.875183,0.315375,0.366192,-0.0296057,0.804099,0.448242,0.389393,-1.88499,0.979009,-1.43597,397
0,-0.942478,0.698132,-0.942478,0.733038,-1.78098,0.922758,-1.35567,0.00975198,0.873,0.328158,0.360678,-0.0441477,0.773928,0.478461,0.412506,-1.79012,0.937444,-1.35437,417
1,-0.698132,0.942478,-0.942478,0.733038,-1.88444,0.958252,-1.44287,0.00975198,0.873,0.328158,0.360678,-0.0479111,0.784938,0.482626,0.38555,-1.88381,0.973846,-1.43681,425
0,-0.942478,0.698132,-0.942478,0.733038,-1.77866,0.915601,-1.35821,-0.00488591,0.869193,0.341815,0.35727,-0.0517383,0.770884,0.488261,0.405786,-1.78788,0.932051,-1.35614,445
1,-0.698132,0.942478,-0.942478,0.733038,-1.88283,0.948578,-1.44555,-0.00488591,0.869193,0.341815,0.35727,-0.0557955,0.781799,0.492133,0.378791,-1.88264,0.966875,-1.43804,454
0,-0.942478,0.698132,-0.942478,0.733038,-1.77686,0.90945,-1.36134,-0.0185054,0.863908,0.355908,0.355879,-0.0613154,0.766324,0.499416,0.399465,-1.78569,0.925746,-1.35819,472
1,-0.698132,0.942478,-0.942478,0.733038,-1.88121,0.940413,-1.44919,-0.0185054,0.863908,0.355908,0.355879,-0.065721,0.777179,0.502944,0.372453,-1.8813,0.958752,-1.43985,481
0,-0.942478,0.698132,-0.942478,0.733038,-1.77731,0.903619,-1.36329,-0.0277469,0.858769,0.367212,0.356232,-0.0656598,0.761311,0.502241,0.404782,-1.78357,0.919283,-1.3606,500
1,-0.698132,0.942478,-0.942478,0.733038,-1.88147,0.933549,-1.45173,-0.0277469,0.858769,0.367212,0.356232,-0.0707724,0.772206,0.505604,0.378224,-1.87973,0.950564,-1.4423,509
0,-0.942478,0.698132,-0.942478,0.733038,-1.77851,0.897816,-1.36588,-0.0320771,0.854598,0.37518,0.357594,-0.0666028,0.759195,0.500579,0.410619,-1.7823,0.912401,-1.36322,528
1,-0.698132,0.942478,-0.942478,0.733038,-1.88233,0.92768,-1.45474,-0.0320771,0.854598,0.37518,0.357594,-0.0725188,0.77012,0.503654,0.384692,-1.87871,0.942288,-1.44514,537
0,-0.942478,0.698132,-0.942478,0.733038,-1.77785,0.895061,-1.36906,-0.0361494,0.849152,0.382411,0.362485,-0.0629275,0.761625,0.492586,0.416324,-1.78178,0.906424,-1.36629,555
1,-0.698132,0.942478,-0.942478,0.733038,-1.88061,0.925253,-1.45904,-0.0361494,0.849152,0.382411,0.362485,-0.0696349,0.77258,0.495266,0.391129,-1.87814,0.935493,-1.44856,564
0,-0.942478,0.698132,-0.942478,0.733038,-1.78108,0.895535,-1.36848,-0.0360532,0.845359,0.385308,0.368248,-0.0672839,0.754067,0.49976,0.420828,-1.78184,0.901535,-1.36889,583
1,-0.698132,0.942478,-0.942478,0.733038,-1.88266,0.926704,-1.45946,-0.0360532,0.845359,0.385308,0.368248,-0.0742868,0.765129,0.502403,0.395791,-1.87776,0.930272,-1.45179,592
0,-0.942478,0.698132,-0.942478,0.733038,-1.78569,0.893621,-1.36681,-0.0315843,0.844402,0.381531,0.37473,-0.0702845,0.749164,0.504347,0.423612,-1.78298,0.898263,-1.37036,611
1,-0.698132,0.942478,-0.942478,0.733038,-1.88601,0.926157,-1.4587,-0.0315843,0.844402,0.381531,0.37473,-0.0774569,0.760325,0.506927,0.398661,-1.87819,0.927207,-1.45401,620
0,-0.942478,0.698132,-0.942478,0.733038,-1.78794,0.889814,-1.36739,-0.0291012,0.842441,0.379684,0.381164,-0.0651501,0.742646,0.50034,0.440331,-1.78526,0.895944,-1.37078,638
1,-0.698132,0.942478,-0.942478,0.733038,-1.88694,0.923443,-1.46032,-0.0291012,0.842441,0.379684,0.381164,-0.0726203,0.754056,0.50318,0.415856,-1.87954,0.925517,-1.45526,647
0,-0.942478,0.698132,-0.942478,0.733038,-1.78978,0.885036,-1.36838,-0.0300167,0.838204,0.382481,0.387584,-0.0653816,0.739355,0.500979,0.445083,-1.78744,0.893804,-1.37103,666
1,-0.698132,0.942478,-0.942478,0.733038,-1.88738,0.91947,-1.46248,-0.0300167,0.838204,0.382481,0.387584,-0.0729036,0.750894,0.50385,0.420688,-1.88076,0.924093,-1.45631,674
0,-0.942478,0.698132,-0.942478,0.733038,-1.79237,0.878538,-1.36974,-0.033764,0.832794,0.387278,0.394119,-0.0665303,0.738845,0.500579,0.446209,-1.78993,0.89067,-1.37131,694
1,-0.698132,0.942478,-0.942478,0.733038,-1.88848,0.913373,-1.46522,-0.033764,0.832794,0.387278,0.394119,-0.0741416,0.750488,0.50327,0.421889,-1.88208,0.921669,-1.45761,703
0,-0.942478,0.698132,-0.942478,0.733038,-1.79545,0.869813,-1.37215,-0.0387437,0.826057,0.395384,0.399751,-0.0709341,0.737221,0.503889,0.444488,-1.7924,0.886378,-1.37195,721
1,-0.698132,0.942478,-0.942478,0.733038,-1.8902,0.905078,-1.46882,-0.0387437,0.826057,0.395384,0.399751,-0.0786068,0.748945,0.506346,0.420138,-1.88335,0.917943,-1.4593,730
0,-0.942478,0.698132,-0.942478,0.733038,-1.79763,0.85995,-1.3775,-0.0448493,0.818146,0.407348,0.403353,-0.0731619,0.734812,0.505391,0.446405,-1.79531,0.88038,-1.37383,749
1,-0.698132,0.942478,-0.942478,0.733038,-1.89143,0.895651,-1.47493,-0.0448493,0.818146,0.407348,0.403353,-0.0810871,0.746645,0.507599,0.422244,-1.88505,0.912453,-1.46225,758
0,-0.942478,0.698132,-0.942478,0.733038,-1.79834,0.851506,-1.38398,-0.0548336,0.807517,0.423169,0.407232,-0.0778346,0.726721,0.51308,0.450075,-1.79788,0.873167,-1.37691,777
1,-0.698132,0.942478,-0.942478,0.733038,-1.89098,0.887329,-1.48247,-0.0548336,0.807517,0.423169,0.407232,-0.0860347,0.738687,0.515181,0.426062,-1.88654,0.905649,-1.46626,787
0,-0.942478,0.698132,-0.942478,0.733038,-1.8008,0.843529,-1.38834,-0.0627758,0.796246,0.440457,0.409938,-0.0864882,0.720264,0.524358,0.445858,-1.79974,0.865079,-1.38066,805
1,-0.698132,0.942478,-0.942478,0.733038,-1.89256,0.880059,-1.4874,-0.0627758,0.796246,0.440457,0.409938,-0.0949827,0.732272,0.526095,0.421877,-1.88736,0.897928,-1.4709,814
