ViewIndex,FOV1,FOV2,FOV3,FOV4,PositionX,PositionY,PositionZ,QuaternionX,QuaternionY,QuaternionZ,QuaternionW,GazeQX,GazeQY,GazeQZ,GazeQW,GazePosX,GazePosY,GazePosZ,timestep
0,-0.942478,0.698132,-0.942478,0.733038,0.982028,-0.912045,1.73091,0.225704,-0.324794,-0.0653712,0.91613,0.068399,-0.352242,-0.139291,0.922955,0.98104,-0.90861,1.73275,0
1,-0.698132,0.942478,-0.942478,0.733038,1.09126,-0.949328,1.81007,0.225704,-0.324794,-0.0653712,0.91613,0.068143,-0.327753,-0.128428,0.93351,1.0813,-0.944151,1.80748,8
0,-0.942478,0.698132,-0.942478,0.733038,0.98476,-0.915327,1.73116,0.221561,-0.320576,-0.0654131,0.91862,0.0659687,-0.349822,-0.138677,0.924144,0.982799,-0.910324,1.73316,17
1,-0.698132,0.942478,-0.942478,0.733038,1.09475,-0.952028,1.80953,0.221561,-0.320576,-0.0654131,0.91862,0.0657205,-0.325278,-0.127866,0.934626,1.0835,-0.945529,1.80745,24
0,-0.942478,0.698132,-0.942478,0.733038,0.986226,-0.917037,1.73123,0.218369,-0.318123,-0.0658874,0.920202,0.0307158,-0.311648,-0.135047,0.94005,0.985528,-0.913131,1.73361,42
1,-0.698132,0.942478,-0.942478,0.733038,1.09664,-0.953453,1.80915,0.218369,-0.318123,-0.0658874,0.920202,0.0307469,-0.286451,-0.12282,0.949692,1.08691,-0.947823,1.80721,50
0,-0.942478,0.698132,-0.942478,0.733038,0.989664,-0.919543,1.7309,0.214427,-0.313987,-0.0664768,0.922504,0.0261399,-0.307643,-0.134374,0.941603,0.988712,-0.915938,1.73373,70
1,-0.698132,0.942478,-0.942478,0.733038,1.10079,-0.955554,1.80799,0.214427,-0.313987,-0.0664768,0.922504,0.026203,-0.282351,-0.122253,0.951129,1.09078,-0.950135,1.80663,78
0,-0.942478,0.698132,-0.942478,0.733038,0.992945,-0.923032,1.73017,0.210614,-0.310377,-0.0649366,0.924712,-0.0470982,-0.22987,-0.118993,0.96477,0.99194,-0.919183,1.73364,98
1,-0.698132,0.942478,-0.942478,0.733038,1.10476,-0.958137,1.80668,0.210614,-0.310377,-0.0649366,0.924712,-0.0454283,-0.203498,-0.103612,0.972517,1.09474,-0.952799,1.80578,106
0,-0.942478,0.698132,-0.942478,0.733038,0.995717,-0.926729,1.72923,0.206224,-0.306672,-0.0641714,0.926988,-0.059535,-0.21201,-0.11207,0.968993,0.994941,-0.9223,1.73324,125
1,-0.698132,0.942478,-0.942478,0.733038,1.10819,-0.961082,1.8051,0.206224,-0.306672,-0.0641714,0.926988,-0.0573621,-0.185487,-0.0964154,0.976222,1.09838,-0.955296,1.80473,133
0,-0.942478,0.698132,-0.942478,0.733038,0.998641,-0.930704,1.72806,0.201479,-0.302709,-0.0632556,0.929394,-0.0670297,-0.207784,-0.111098,0.969531,0.997886,-0.925829,1.73257,153
1,-0.698132,0.942478,-0.942478,0.733038,1.11183,-0.964231,1.80324,0.201479,-0.302709,-0.0632556,0.929394,-0.0648163,-0.18111,-0.0954307,0.976673,1.10196,-0.958142,1.80344,161
0,-0.942478,0.698132,-0.942478,0.733038,1.00117,-0.934439,1.72628,0.197722,-0.298872,-0.0636314,0.931414,-0.0689905,-0.205513,-0.109791,0.970026,1.00075,-0.929534,1.73156,181
1,-0.698132,0.942478,-0.942478,0.733038,1.11499,-0.96757,1.80067,0.197722,-0.298872,-0.0636314,0.931414,-0.0667908,-0.178781,-0.094382,0.977071,1.10546,-0.961192,1.80181,189
0,-0.942478,0.698132,-0.942478,0.733038,1.00348,-0.938174,1.72417,0.193226,-0.294619,-0.0631873,0.93374,-0.0704924,-0.206512,-0.110569,0.969618,1.00356,-0.93327,1.73004,209
1,-0.698132,0.942478,-0.942478,0.733038,1.11802,-0.970623,1.79776,0.193226,-0.294619,-0.0631873,0.93374,-0.0684224,-0.179706,-0.0954285,0.976687,1.10891,-0.964351,1.79958,217
0,-0.942478,0.698132,-0.942478,0.733038,1.00569,-0.941386,1.72186,0.189366,-0.29002,-0.0629521,0.935984,-0.0731687,-0.204107,-0.109896,0.970005,1.00506,-0.935421,1.72898,225
