ViewIndex,FOV1,FOV2,FOV3,FOV4,PositionX,PositionY,PositionZ,QuaternionX,QuaternionY,QuaternionZ,QuaternionW,GazeQX,GazeQY,GazeQZ,GazeQW,GazePosX,GazePosY,GazePosZ,timestep
0,-0.942478,0.698132,-0.942478,0.733038,5.30116,1.25742,-1.65341,-0.478216,0.389029,0.0418648,-0.786265,-0.26942,0.382658,0.160989,-0.868946,5.28034,1.21721,-1.61204,0
1,-0.698132,0.942478,-0.942478,0.733038,5.44682,1.16548,-1.53339,-0.478216,0.389029,0.0418648,-0.786265,-0.267634,0.362884,0.14092,-0.881379,5.41629,1.13095,-1.50203,6
0,-0.942478,0.698132,-0.942478,0.733038,5.30761,1.26846,-1.66247,-0.478118,0.389305,0.0414327,-0.786211,-0.259206,0.383466,0.166639,-0.870631,5.28702,1.2266,-1.62121,14
1,-0.698132,0.942478,-0.942478,0.733038,5.45319,1.17663,-1.54227,-0.478118,0.389305,0.0414327,-0.786211,-0.257147,0.3637,0.146098,-0.883319,5.42281,1.14056,-1.51083,21
0,-0.942478,0.698132,-0.942478,0.733038,5.31374,1.2805,-1.67212,-0.479734,0.389671,0.0413884,-0.785047,-0.259513,0.384227,0.165918,-0.870341,5.29288,1.23565,-1.63019,27
1,-0.698132,0.942478,-0.942478,0.733038,5.4592,1.18836,-1.55202,-0.479734,0.389671,0.0413884,-0.785047,-0.257422,0.364474,0.145374,-0.88304,5.42853,1.14976,-1.51952,33
0,-0.942478,0.698132,-0.942478,0.733038,5.31988,1.2919,-1.68241,-0.481481,0.389906,0.0412887,-0.783866,-0.252533,0.383678,0.168902,-0.872061,5.29909,1.24585,-1.64007,41
1,-0.698132,0.942478,-0.942478,0.733038,5.46527,1.19949,-1.56243,-0.481481,0.389906,0.0412887,-0.783866,-0.250268,0.363923,0.147964,-0.884891,5.43461,1.16004,-1.52918,47
0,-0.942478,0.698132,-0.942478,0.733038,5.32628,1.30343,-1.69287,-0.483073,0.390315,0.0414819,-0.782671,-0.253577,0.38431,0.16847,-0.871563,5.30596,1.25726,-1.65065,55
1,-0.698132,0.942478,-0.942478,0.733038,5.47153,1.21063,-1.57302,-0.483073,0.390315,0.0414819,-0.782671,-0.251289,0.364586,0.147512,-0.884404,5.44134,1.17142,-1.53961,61
0,-0.942478,0.698132,-0.942478,0.733038,5.33335,1.31546,-1.70276,-0.484194,0.390323,0.04107,-0.781996,-0.254535,0.384741,0.168205,-0.871145,5.3117,1.26666,-1.65904,69
1,-0.698132,0.942478,-0.942478,0.733038,5.4786,1.22262,-1.58295,-0.484194,0.390323,0.04107,-0.781996,-0.252233,0.365044,0.147228,-0.883994,5.44697,1.18077,-1.54793,75
0,-0.942478,0.698132,-0.942478,0.733038,5.33966,1.32745,-1.71358,-0.484868,0.390879,0.0402073,-0.781345,-0.255462,0.382936,0.165435,-0.872199,5.31891,1.27875,-1.66967,83
1,-0.698132,0.942478,-0.942478,0.733038,5.48477,1.23468,-1.59353,-0.484868,0.390879,0.0402073,-0.781345,-0.253202,0.363241,0.144368,-0.884931,5.45407,1.19278,-1.55847,89
0,-0.942478,0.698132,-0.942478,0.733038,5.34383,1.34793,-1.71562,-0.486969,0.389151,0.0426094,-0.780773,-0.256582,0.383225,0.165202,-0.871787,5.32575,1.29047,-1.67933,97
1,-0.698132,0.942478,-0.942478,0.733038,5.48942,1.25439,-1.59676,-0.486969,0.389151,0.0426094,-0.780773,-0.254312,0.36356,0.144112,-0.884524,5.46085,1.20442,-1.56812,104
0,-0.942478,0.698132,-0.942478,0.733038,5.35251,1.35917,-1.72675,-0.491325,0.389906,0.0394286,-0.777829,-0.251783,0.380566,0.166277,-0.874143,5.3315,1.30124,-1.68735,111
1,-0.698132,0.942478,-0.942478,0.733038,5.49796,1.26586,-1.60754,-0.491325,0.389906,0.0394286,-0.777829,-0.249434,0.3609,0.144776,-0.88689,5.4666,1.21501,-1.57627,117
0,-0.942478,0.698132,-0.942478,0.733038,5.35834,1.37106,-1.73825,-0.493879,0.389518,0.0383748,-0.776458,-0.254365,0.380712,0.165617,-0.873458,5.33869,1.31528,-1.69726,125
1,-0.698132,0.942478,-0.942478,0.733038,5.50395,1.27778,-1.61922,-0.493879,0.389518,0.0383748,-0.776458,-0.251994,0.361108,0.144058,-0.886198,5.4738,1.22895,-1.58629,131
0,-0.942478,0.698132,-0.942478,0.733038,5.36597,1.38228,-1.75159,-0.494592,0.389215,0.0377874,-0.776185,-0.256485,0.380829,0.165071,-0.87289,5.34436,1.32671,-1.70551,138
