ViewIndex,FOV1,FOV2,FOV3,FOV4,PositionX,PositionY,PositionZ,QuaternionX,QuaternionY,QuaternionZ,QuaternionW,GazeQX,GazeQY,GazeQZ,GazeQW,GazePosX,GazePosY,GazePosZ,timestep
0,-0.942478,0.698132,-0.942478,0.733038,-2.15958,0.601601,2.61241,0.0672455,0.272992,-0.0574321,0.957943,-0.109605,0.31889,0.00872577,0.941392,-2.15902,0.601672,2.61203,0
1,-0.698132,0.942478,-0.942478,0.733038,-2.14777,0.600575,2.60498,0.0672455,0.272992,-0.0574321,0.957943,-0.105061,0.345222,0.0155863,0.932492,-2.14794,0.60075,2.60531,8
0,-0.942478,0.698132,-0.942478,0.733038,-2.15974,0.601628,2.61251,0.0658828,0.277823,-0.0596608,0.956511,-0.109638,0.326917,0.00918307,0.938627,-2.15911,0.601611,2.61209,28
1,-0.698132,0.942478,-0.942478,0.733038,-2.14801,0.600543,2.60496,0.0658828,0.277823,-0.0596608,0.956511,-0.104989,0.353142,0.0159127,0.929524,-2.14809,0.600665,2.60526,36
0,-0.942478,0.698132,-0.942478,0.733038,-2.1599,0.601727,2.6126,0.0660458,0.282265,-0.0622167,0.955036,-0.110248,0.331793,0.00824018,0.936851,-2.15924,0.601595,2.61218,56
1,-0.698132,0.942478,-0.942478,0.733038,-2.14824,0.600586,2.60493,0.0660458,0.282265,-0.0622167,0.955036,-0.105532,0.357972,0.0149107,0.92763,-2.14829,0.600607,2.60523,63
0,-0.942478,0.698132,-0.942478,0.733038,-2.16006,0.601809,2.61267,0.0667315,0.286672,-0.063941,0.953561,-0.10818,0.322484,0.00304364,0.940368,-2.15932,0.601612,2.61223,72
1,-0.698132,0.942478,-0.942478,0.733038,-2.14848,0.600638,2.6049,0.0667315,0.286672,-0.063941,0.953561,-0.103757,0.348794,0.00971717,0.931388,-2.14842,0.6006,2.60522,79
0,-0.942478,0.698132,-0.942478,0.733038,-2.16012,0.601774,2.61272,0.0674489,0.287961,-0.0642267,0.953102,-0.107805,0.326632,0.00216866,0.938981,-2.15944,0.601631,2.6123,97
1,-0.698132,0.942478,-0.942478,0.733038,-2.14857,0.600604,2.60491,0.0674489,0.287961,-0.0642267,0.953102,-0.103316,0.352897,0.00883336,0.929898,-2.1486,0.600587,2.6052,105
0,-0.942478,0.698132,-0.942478,0.733038,-2.16032,0.601793,2.61281,0.068112,0.291278,-0.065717,0.951945,-0.107637,0.327183,0.000546876,0.93881,-2.1596,0.601674,2.61238,125
1,-0.698132,0.942478,-0.942478,0.733038,-2.14882,0.600597,2.60493,0.068112,0.291278,-0.065717,0.951945,-0.103163,0.353463,0.00725259,0.929714,-2.14882,0.600605,2.60519,133
0,-0.942478,0.698132,-0.942478,0.733038,-2.1605,0.601777,2.61291,0.0682935,0.294598,-0.0664757,0.950857,-0.107458,0.321046,-0.00317967,0.940942,-2.15979,0.60172,2.61247,153
1,-0.698132,0.942478,-0.942478,0.733038,-2.14906,0.60057,2.60494,0.0682935,0.294598,-0.0664757,0.950857,-0.10316,0.347431,0.00360682,0.932007,-2.14908,0.600626,2.6052,160
0,-0.942478,0.698132,-0.942478,0.733038,-2.16067,0.601704,2.61296,0.068301,0.297665,-0.0667481,0.949882,-0.108575,0.320155,-0.00426263,0.941113,-2.15999,0.601726,2.61254,181
1,-0.698132,0.942478,-0.942478,0.733038,-2.14928,0.600499,2.60492,0.068301,0.297665,-0.0667481,0.949882,-0.104314,0.346583,0.00259975,0.932197,-2.14932,0.600619,2.60519,189
0,-0.942478,0.698132,-0.942478,0.733038,-2.16085,0.601606,2.61295,0.0676503,0.299978,-0.0673401,0.949158,-0.108364,0.32323,-0.00437135,0.940085,-2.16019,0.601686,2.61255,208
1,-0.698132,0.942478,-0.942478,0.733038,-2.1495,0.600385,2.60485,0.0676503,0.299978,-0.0673401,0.949158,-0.104068,0.349627,0.00248356,0.931088,-2.14958,0.60057,2.60513,216
0,-0.942478,0.698132,-0.942478,0.733038,-2.16103,0.601542,2.61297,0.0666473,0.302285,-0.0677402,0.948469,-0.108859,0.319296,-0.00646109,0.94136,-2.16036,0.601618,2.61262,236
1,-0.698132,0.942478,-0.942478,0.733038,-2.14972,0.600307,2.60482,0.0666473,0.302285,-0.0677402,0.948469,-0.104694,0.345755,0.000417911,0.932466,-2.14979,0.60049,2.60514,244
0,-0.942478,0.698132,-0.942478,0.733038,-2.16117,0.601527,2.61296,0.0660079,0.305043,-0.0679118,0.947618,-0.110127,0.317987,-0.00699283,0.941652,-2.16046,0.601576,2.61264,252
1,-0.698132,0.942478,-0.942478,0.733038,-2.14991,0.600289,2.60475,0.0660079,0.305043,-0.0679118,0.947618,-0.106001,0.344483,-8.13231e-05,0.932789,-2.14991,0.600442,2.60513,260
0,-0.942478,0.698132,-0.942478,0.733038,-2.16125,0.601535,2.61293,0.0655782,0.30641,-0.0678558,0.947211,-0.110564,0.320381,-0.00683254,0.940789,-2.1606,0.601527,2.61267,278
1,-0.698132,0.942478,-0.942478,0.733038,-2.15001,0.600298,2.60468,0.0655782,0.30641,-0.0678558,0.947211,-0.106418,0.346858,5.66021e-05,0.931861,-2.15009,0.600387,2.6051,286
0,-0.942478,0.698132,-0.942478,0.733038,-2.1614,0.601569,2.61282,0.0652386,0.309137,-0.0679417,0.946341,-0.11066,0.320257,-0.00750542,0.940816,-2.16075,0.601497,2.61267,306
