ViewIndex,FOV1,FOV2,FOV3,FOV4,PositionX,PositionY,PositionZ,QuaternionX,QuaternionY,QuaternionZ,QuaternionW,GazeQX,GazeQY,GazeQZ,GazeQW,GazePosX,GazePosY,GazePosZ,timestep
0,-0.942478,0.698132,-0.942478,0.733038,2.17495,0.593962,0.466017,0.142469,0.734721,0.188713,0.635827,0.121661,0.624819,0.207071,0.742914,2.17373,0.594598,0.463819,0
1,-0.698132,0.942478,-0.942478,0.733038,2.16439,0.625437,0.404336,0.142469,0.734721,0.188713,0.635827,0.117612,0.643485,0.213155,0.725713,2.16414,0.623873,0.406582,10
0,-0.942478,0.698132,-0.942478,0.733038,2.17534,0.594069,0.466012,0.14125,0.73547,0.188602,0.635265,0.121649,0.622561,0.206086,0.745083,2.17417,0.59487,0.463861,27
1,-0.698132,0.942478,-0.942478,0.733038,2.16463,0.625409,0.404289,0.14125,0.73547,0.188602,0.635265,0.117621,0.641231,0.212215,0.727979,2.16445,0.624095,0.40662,36
0,-0.942478,0.698132,-0.942478,0.733038,2.17572,0.593979,0.465916,0.140413,0.736164,0.188813,0.634584,0.119013,0.624652,0.207849,0.743266,2.17464,0.595,0.463801,55
1,-0.698132,0.942478,-0.942478,0.733038,2.16485,0.625247,0.404183,0.140413,0.736164,0.188813,0.634584,0.115009,0.643285,0.214015,0.726054,2.16478,0.624137,0.40654,64
0,-0.942478,0.698132,-0.942478,0.733038,2.17612,0.593865,0.465816,0.140157,0.736817,0.189767,0.633597,0.118501,0.625459,0.208039,0.742616,2.17505,0.595029,0.463731,83
1,-0.698132,0.942478,-0.942478,0.733038,2.16507,0.625178,0.404139,0.140157,0.736817,0.189767,0.633597,0.114496,0.644076,0.21419,0.725382,2.16505,0.624112,0.406467,93
0,-0.942478,0.698132,-0.942478,0.733038,2.17653,0.593658,0.465646,0.139574,0.73786,0.191082,0.632115,0.116182,0.625722,0.210434,0.742086,2.17541,0.594991,0.463601,111
1,-0.698132,0.942478,-0.942478,0.733038,2.16519,0.625007,0.40404,0.139574,0.73786,0.191082,0.632115,0.112179,0.644306,0.216651,0.724809,2.16524,0.624068,0.406365,120
0,-0.942478,0.698132,-0.942478,0.733038,2.17702,0.593262,0.465448,0.138193,0.739154,0.191921,0.630651,0.086585,0.644303,0.241167,0.720566,2.1758,0.594837,0.463447,139
1,-0.698132,0.942478,-0.942478,0.733038,2.16537,0.624529,0.403858,0.138193,0.739154,0.191921,0.630651,0.0829575,0.662509,0.248018,0.701917,2.1654,0.623908,0.406248,148
0,-0.942478,0.698132,-0.942478,0.733038,2.17767,0.59263,0.465386,0.136014,0.740392,0.192218,0.629581,0.0493748,0.639992,0.276413,0.71524,2.17633,0.59447,0.463304,166
1,-0.698132,0.942478,-0.942478,0.733038,2.16575,0.623692,0.403745,0.136014,0.740392,0.192218,0.629581,0.0463713,0.658063,0.284448,0.695624,2.16568,0.623478,0.40612,177
0,-0.942478,0.698132,-0.942478,0.733038,2.17837,0.592036,0.465428,0.134402,0.742397,0.19288,0.627359,0.048111,0.641208,0.277297,0.713893,2.17687,0.594067,0.463221,194
1,-0.698132,0.942478,-0.942478,0.733038,2.16599,0.622968,0.403809,0.134402,0.742397,0.19288,0.627359,0.0450964,0.659252,0.285288,0.694236,2.16595,0.622965,0.406031,203
0,-0.942478,0.698132,-0.942478,0.733038,2.17904,0.591497,0.46547,0.132728,0.745143,0.194421,0.623976,0.0505467,0.643614,0.27507,0.71242,2.17743,0.593562,0.463206,222
1,-0.698132,0.942478,-0.942478,0.733038,2.166,0.622348,0.403947,0.132728,0.745143,0.194421,0.623976,0.0474405,0.661614,0.282893,0.692811,2.16611,0.622355,0.406042,232
0,-0.942478,0.698132,-0.942478,0.733038,2.17976,0.590835,0.46556,0.129414,0.747724,0.194719,0.621486,0.0490835,0.645868,0.276494,0.709927,2.17805,0.593031,0.463248,250
1,-0.698132,0.942478,-0.942478,0.733038,2.16617,0.621346,0.403987,0.129414,0.747724,0.194719,0.621486,0.0459612,0.663811,0.28426,0.690245,2.16625,0.621689,0.406112,260
0,-0.942478,0.698132,-0.942478,0.733038,2.18047,0.590062,0.465531,0.125479,0.749979,0.195459,0.61934,0.0486258,0.645838,0.275342,0.710434,2.17877,0.592407,0.463299,278
1,-0.698132,0.942478,-0.942478,0.733038,2.16637,0.620206,0.403893,0.125479,0.749979,0.195459,0.61934,0.0454247,0.663763,0.28304,0.690829,2.16649,0.620838,0.406151,286
0,-0.942478,0.698132,-0.942478,0.733038,2.18103,0.589025,0.465315,0.121854,0.751528,0.19709,0.617668,0.0514652,0.64937,0.271359,0.708544,2.1795,0.591658,0.463329,306
1,-0.698132,0.942478,-0.942478,0.733038,2.16651,0.618909,0.403648,0.121854,0.751528,0.19709,0.617668,0.0481384,0.667257,0.278759,0.689016,2.16675,0.619812,0.406149,315
0,-0.942478,0.698132,-0.942478,0.733038,2.18139,0.587652,0.464984,0.117932,0.752498,0.199454,0.616487,0.0492995,0.646693,0.271487,0.711092,2.18015,0.59075,0.463267,334
1,-0.698132,0.942478,-0.942478,0.733038,2.16653,0.617311,0.403287,0.117932,0.752498,0.199454,0.616487,0.0458746,0.664596,0.278876,0.691691,2.16698,0.61866,0.406061,344
0,-0.942478,0.698132,-0.942478,0.733038,2.1814,0.586601,0.464632,0.114727,0.752724,0.201971,0.615997,0.0455262,0.646151,0.274164,0.71081,2.18057,0.589626,0.46301,361
1,-0.698132,0.942478,-0.942478,0.733038,2.16635,0.616129,0.402919,0.114727,0.752724,0.201971,0.615997,0.0420446,0.664043,0.281516,0.691396,2.16707,0.617322,0.405777,370
0,-0.942478,0.698132,-0.942478,0.733038,2.18116,0.585451,0.464316,0.111771,0.752715,0.203596,0.616017,0.0423067,0.646179,0.276943,0.709905,2.18076,0.588479,0.462677,389
1,-0.698132,0.942478,-0.942478,0.733038,2.16603,0.614808,0.402543,0.111771,0.752715,0.203596,0.616017,0.0387661,0.66406,0.284229,0.69046,2.16701,0.61601,0.405422,399
0,-0.942478,0.698132,-0.942478,0.733038,2.1807,0.5842,0.46388,0.107845,0.752287,0.204504,0.616938,0.0390441,0.646219,0.279033,0.709237,2.1805,0.587342,0.462244,417
1,-0.698132,0.942478,-0.942478,0.733038,2.16561,0.613241,0.401949,0.107845,0.752287,0.204504,0.616938,0.0354505,0.664103,0.286227,0.689771,2.16661,0.61466,0.404923,427
