ViewIndex,FOV1,FOV2,FOV3,FOV4,PositionX,PositionY,PositionZ,QuaternionX,QuaternionY,QuaternionZ,QuaternionW,GazeQX,GazeQY,GazeQZ,GazeQW,GazePosX,GazePosY,GazePosZ,timestep
0,-0.942478,0.698132,-0.942478,0.733038,1.11886,-0.335614,2.38885,-0.0416377,0.130952,0.1087,0.984531,-0.085551,0.0930471,0.113111,0.98551,1.12118,-0.366558,2.42108,0
1,-0.698132,0.942478,-0.942478,0.733038,1.31693,-0.292904,2.33273,-0.0416377,0.130952,0.1087,0.984531,-0.0883812,0.119942,0.113906,0.982257,1.30532,-0.327127,2.37043,9
0,-0.942478,0.698132,-0.942478,0.733038,1.11721,-0.319822,2.37504,-0.0454476,0.131598,0.109139,0.984228,-0.0938779,0.0936351,0.114614,0.984522,1.12367,-0.351212,2.40496,28
1,-0.698132,0.942478,-0.942478,0.733038,1.31518,-0.277167,2.31849,-0.0454476,0.131598,0.109139,0.984228,-0.0967313,0.120547,0.115374,0.981224,1.30761,-0.311686,2.35371,34
0,-0.942478,0.698132,-0.942478,0.733038,1.11593,-0.305924,2.36066,-0.0467654,0.132058,0.109645,0.984049,-0.0972115,0.0886626,0.115349,0.984573,1.12499,-0.336124,2.38969,56
1,-0.698132,0.942478,-0.942478,0.733038,1.31379,-0.26315,2.30386,-0.0467654,0.132058,0.109645,0.984049,-0.100138,0.115573,0.11602,0.981405,1.30878,-0.296558,2.33792,62
0,-0.942478,0.698132,-0.942478,0.733038,1.11148,-0.292393,2.34676,-0.0480608,0.132412,0.109106,0.983999,-0.0941374,0.0868808,0.115426,0.985021,1.12455,-0.321039,2.37475,83
1,-0.698132,0.942478,-0.942478,0.733038,1.30935,-0.249924,2.28976,-0.0480608,0.132412,0.109106,0.983999,-0.0971064,0.113754,0.115862,0.98194,1.30823,-0.281458,2.3226,92
0,-0.942478,0.698132,-0.942478,0.733038,1.10546,-0.280541,2.33315,-0.0487184,0.133438,0.10718,0.984039,-0.0962732,0.0875366,0.115373,0.984763,1.12229,-0.307104,2.36087,111
1,-0.698132,0.942478,-0.942478,0.733038,1.3034,-0.238924,2.27573,-0.0487184,0.133438,0.10718,0.984039,-0.0992379,0.114409,0.115751,0.981664,1.30592,-0.267717,2.30839,118
0,-0.942478,0.698132,-0.942478,0.733038,1.0991,-0.27009,2.3205,-0.0505416,0.134454,0.105877,0.98395,-0.0916749,0.0910239,0.114231,0.985019,1.1185,-0.294019,2.34739,139
