ViewIndex,FOV1,FOV2,FOV3,FOV4,PositionX,PositionY,PositionZ,QuaternionX,QuaternionY,QuaternionZ,QuaternionW,GazeQX,GazeQY,GazeQZ,GazeQW,GazePosX,GazePosY,GazePosZ,timestep
0,-0.942478,0.698132,-0.942478,0.733038,2.71801,0.682746,-2.95403,0.00533425,-0.994782,-0.0616858,0.0810859,0.00438684,-0.96572,-0.257755,-0.0304654,2.716,0.682705,-2.95447,0
1,-0.698132,0.942478,-0.942478,0.733038,2.66277,0.681592,-2.94503,0.00533425,-0.994782,-0.0616858,0.0810859,0.000656223,-0.96571,-0.259617,-0.0018596,2.66454,0.681693,-2.94711,7
0,-0.942478,0.698132,-0.942478,0.733038,2.71774,0.682315,-2.95425,0.00732696,-0.994091,-0.0649807,0.0866402,0.0047917,-0.964872,-0.260686,-0.0322866,2.71598,0.682737,-2.95431,16
1,-0.698132,0.942478,-0.942478,0.733038,2.6626,0.680869,-2.94466,0.00732696,-0.994091,-0.0649807,0.0866402,0.000926041,-0.964871,-0.262696,-0.00365719,2.66456,0.681693,-2.94662,22
0,-0.942478,0.698132,-0.942478,0.733038,2.7176,0.682101,-2.95387,0.0108204,-0.993703,-0.0694411,0.0872596,0.00503168,-0.964739,-0.261784,-0.0268784,2.71591,0.682629,-2.95403,41
1,-0.698132,0.942478,-0.942478,0.733038,2.66248,0.680219,-2.94424,0.0108204,-0.993703,-0.0694411,0.0872596,0.00118606,-0.964595,-0.263726,0.00175807,2.66458,0.681396,-2.94582,49
0,-0.942478,0.698132,-0.942478,0.733038,2.7171,0.682008,-2.95291,0.0142541,-0.993242,-0.0715249,0.0902861,0.00753294,-0.962438,-0.269129,-0.0350075,2.71583,0.682476,-2.95383,57
1,-0.698132,0.942478,-0.942478,0.733038,2.66206,0.6797,-2.94298,0.0142541,-0.993242,-0.0715249,0.0902861,0.00357102,-0.962443,-0.271385,-0.00636032,2.66455,0.681055,-2.94535,64
0,-0.942478,0.698132,-0.942478,0.733038,2.71665,0.682105,-2.95177,0.016844,-0.993421,-0.0701101,0.0889722,0.010185,-0.961795,-0.271173,-0.0362274,2.71556,0.682242,-2.95323,83
1,-0.698132,0.942478,-0.942478,0.733038,2.66159,0.679533,-2.94201,0.016844,-0.993421,-0.0701101,0.0889722,0.00629621,-0.961828,-0.273475,-0.007628,2.66433,0.68048,-2.94445,90
0,-0.942478,0.698132,-0.942478,0.733038,2.71613,0.681677,-2.95005,0.0225936,-0.993468,-0.0695201,0.0876203,0.0118476,-0.961631,-0.271855,-0.0349332,2.71533,0.682183,-2.95277,98
1,-0.698132,0.942478,-0.942478,0.733038,2.66106,0.678482,-2.94048,0.0225936,-0.993468,-0.0695201,0.0876203,0.00797499,-0.961648,-0.274098,-0.00632682,2.66413,0.680207,-2.94391,105
0,-0.942478,0.698132,-0.942478,0.733038,2.71538,0.681174,-2.9495,0.023842,-0.993616,-0.0694398,0.0856565,0.0141075,-0.961498,-0.272306,-0.0342346,2.71503,0.68212,-2.95216,113
1,-0.698132,0.942478,-0.942478,0.733038,2.66028,0.677855,-2.94015,0.023842,-0.993616,-0.0694398,0.0856565,0.0102457,-0.961522,-0.27448,-0.00562157,2.66384,0.679895,-2.94329,120
0,-0.942478,0.698132,-0.942478,0.733038,2.71448,0.679914,-2.94888,0.0213615,-0.993647,-0.0722514,0.083604,0.0177239,-0.961122,-0.272573,-0.0404317,2.7144,0.681744,-2.951,139
1,-0.698132,0.942478,-0.942478,0.733038,2.65934,0.676861,-2.93975,0.0213615,-0.993647,-0.0722514,0.083604,0.0139322,-0.961314,-0.274843,-0.0119018,2.6632,0.679227,-2.94223,146
0,-0.942478,0.698132,-0.942478,0.733038,2.71357,0.677914,-2.9477,0.0206427,-0.993467,-0.0779551,0.0807514,0.0202301,-0.960764,-0.271531,-0.0528518,2.71372,0.681069,-2.95,154
1,-0.698132,0.942478,-0.942478,0.733038,2.65837,0.674913,-2.93889,0.0206427,-0.993467,-0.0779551,0.0807514,0.0166312,-0.961251,-0.274075,-0.0245341,2.66251,0.678432,-2.94136,162
0,-0.942478,0.698132,-0.942478,0.733038,2.71331,0.677148,-2.94704,0.0201726,-0.993242,-0.0819877,0.0796379,0.0206793,-0.959788,-0.274582,-0.0546349,2.71287,0.679861,-2.94885,180
1,-0.698132,0.942478,-0.942478,0.733038,2.65809,0.674173,-2.93837,0.0201726,-0.993242,-0.0819877,0.0796379,0.017176,-0.960319,-0.27713,-0.0263065,2.66163,0.677156,-2.94041,187
0,-0.942478,0.698132,-0.942478,0.733038,2.71255,0.676315,-2.9453,0.0197452,-0.992958,-0.0868163,0.0781511,0.0205577,-0.959056,-0.276875,-0.0559349,2.71227,0.678862,-2.94802,195
1,-0.698132,0.942478,-0.942478,0.733038,2.6573,0.67336,-2.93681,0.0197452,-0.992958,-0.0868163,0.0781511,0.0171542,-0.959615,-0.279431,-0.0276078,2.66101,0.676137,-2.93972,202
0,-0.942478,0.698132,-0.942478,0.733038,2.71199,0.676203,-2.94406,0.0197057,-0.992903,-0.0882311,0.0772722,0.0203543,-0.958346,-0.279142,-0.0569096,2.71177,0.678118,-2.94731,210
1,-0.698132,0.942478,-0.942478,0.733038,2.65672,0.673249,-2.93566,0.0197057,-0.992903,-0.0882311,0.0772722,0.0170209,-0.958922,-0.281712,-0.0285757,2.6605,0.675387,-2.93911,217
0,-0.942478,0.698132,-0.942478,0.733038,2.71114,0.675778,-2.94256,0.0177142,-0.993264,-0.0863873,0.0751643,0.0190097,-0.959045,-0.277515,-0.0534431,2.71088,0.677005,-2.94572,235
1,-0.698132,0.942478,-0.942478,0.733038,2.65583,0.673081,-2.93437,0.0177142,-0.993264,-0.0863873,0.0751643,0.0159074,-0.95957,-0.279894,-0.0251263,2.65957,0.674295,-2.93773,242
0,-0.942478,0.698132,-0.942478,0.733038,2.70976,0.675235,-2.93956,0.0139241,-0.993692,-0.0850845,0.0717139,0.0178724,-0.959591,-0.27615,-0.0510512,2.71037,0.676495,-2.94468,251
1,-0.698132,0.942478,-0.942478,0.733038,2.65437,0.673002,-2.93171,0.0139241,-0.993692,-0.0850845,0.0717139,0.0148489,-0.960074,-0.278426,-0.0227268,2.65903,0.673865,-2.93682,257
0,-0.942478,0.698132,-0.942478,0.733038,2.70907,0.675033,-2.93806,0.0116024,-0.994211,-0.0818681,0.0686061,0.0159574,-0.959581,-0.275633,-0.0545587,2.70921,0.67571,-2.94227,277
1,-0.698132,0.942478,-0.942478,0.733038,2.65363,0.673112,-2.93053,0.0116024,-0.994211,-0.0818681,0.0686061,0.0129296,-0.960136,-0.277997,-0.0262433,2.65781,0.673377,-2.9347,284
0,-0.942478,0.698132,-0.942478,0.733038,2.70764,0.674489,-2.9354,0.00913643,-0.994597,-0.0809651,0.064321,0.013162,-0.962626,-0.266974,-0.0436192,2.70853,0.675414,-2.94088,292
1,-0.698132,0.942478,-0.942478,0.733038,2.65213,0.672889,-2.92832,0.00913643,-0.994597,-0.0809651,0.064321,0.0103124,-0.96298,-0.268941,-0.0153023,2.6571,0.673254,-2.93349,299
0,-0.942478,0.698132,-0.942478,0.733038,2.70691,0.674133,-2.93411,0.00771835,-0.994698,-0.0812364,0.0625886,0.0121257,-0.962731,-0.266235,-0.046042,2.70774,0.675142,-2.93936,307
1,-0.698132,0.942478,-0.942478,0.733038,2.65137,0.672704,-2.92721,0.00771835,-0.994698,-0.0812364,0.0625886,0.00926085,-0.96314,-0.268255,-0.0177311,2.65627,0.673164,-2.93219,314
0,-0.942478,0.698132,-0.942478,0.733038,2.70617,0.673932,-2.93279,0.00815857,-0.994727,-0.0820635,0.060974,0.00956762,-0.963423,-0.264804,-0.0400447,2.70643,0.674686,-2.93687,333
1,-0.698132,0.942478,-0.942478,0.733038,2.65061,0.672463,-2.92607,0.00815857,-0.994727,-0.0820635,0.060974,0.00667709,-0.963704,-0.266635,-0.0116403,2.65491,0.672976,-2.93003,340
0,-0.942478,0.698132,-0.942478,0.733038,2.7048,0.673556,-2.92992,0.00768903,-0.994938,-0.0826163,0.0566942,0.00723548,-0.970671,-0.237837,-0.0343404,2.70562,0.6744,-2.93529,348
1,-0.698132,0.942478,-0.942478,0.733038,2.64918,0.672175,-2.92368,0.00768903,-0.994938,-0.0826163,0.0566942,0.00515324,-0.970923,-0.239251,-0.00635015,2.65407,0.672809,-2.92867,355
0,-0.942478,0.698132,-0.942478,0.733038,2.70401,0.673436,-2.92809,0.0068751,-0.995108,-0.0817091,0.055112,0.00669769,-0.970569,-0.237706,-0.0380462,2.70435,0.673993,-2.93275,375
1,-0.698132,0.942478,-0.942478,0.733038,2.64838,0.672166,-2.92201,0.0068751,-0.995108,-0.0817091,0.055112,0.00461843,-0.970915,-0.239168,-0.0100591,2.65275,0.672548,-2.92649,382
0,-0.942478,0.698132,-0.942478,0.733038,2.7025,0.672936,-2.92443,0.00460715,-0.995427,-0.0799293,0.0521135,0.00625444,-0.97056,-0.237382,-0.0403021,2.70351,0.673748,-2.93102,390
1,-0.698132,0.942478,-0.942478,0.733038,2.64683,0.671956,-2.91866,0.00460715,-0.995427,-0.0799293,0.0521135,0.00417003,-0.970963,-0.238875,-0.0123178,2.65188,0.672408,-2.92498,397
0,-0.942478,0.698132,-0.942478,0.733038,2.70155,0.672299,-2.92263,0.00374583,-0.995694,-0.0774018,0.0508759,0.0054836,-0.969922,-0.239379,-0.043806,2.70213,0.673297,-2.92809,416
1,-0.698132,0.942478,-0.942478,0.733038,2.64586,0.671441,-2.91699,0.00374583,-0.995694,-0.0774018,0.0508759,0.00326218,-0.9704,-0.240965,-0.0157731,2.65046,0.672153,-2.92235,423
0,-0.942478,0.698132,-0.942478,0.733038,2.69985,0.67128,-2.91891,0.00258008,-0.99589,-0.0770544,0.0475364,0.00491906,-0.97011,-0.238226,-0.0459438,2.70117,0.672939,-2.92597,432
1,-0.698132,0.942478,-0.942478,0.733038,2.64412,0.670583,-2.91363,0.00258008,-0.99589,-0.0770544,0.0475364,0.00266859,-0.970642,-0.239847,-0.0179162,2.64948,0.671923,-2.92043,439
0,-0.942478,0.698132,-0.942478,0.733038,2.699,0.670547,-2.91705,0.00307927,-0.995642,-0.0809492,0.0462148,0.00424345,-0.969952,-0.238451,-0.0481233,2.69969,0.672276,-2.92274,458
1,-0.698132,0.942478,-0.942478,0.733038,2.64326,0.669785,-2.91193,0.00307927,-0.995642,-0.0809492,0.0462148,0.00196046,-0.970538,-0.240102,-0.0200788,2.64797,0.671407,-2.91749,465
0,-0.942478,0.698132,-0.942478,0.733038,2.69742,0.669013,-2.91339,0.00395897,-0.995495,-0.0842004,0.0434146,0.0041156,-0.969702,-0.239096,-0.0499403,2.69872,0.671717,-2.92063,474
1,-0.698132,0.942478,-0.942478,0.733038,2.64165,0.668162,-2.90859,0.00395897,-0.995495,-0.0842004,0.0434146,0.00185477,-0.970335,-0.240765,-0.0218961,2.64698,0.670895,-2.91556,481
0,-0.942478,0.698132,-0.942478,0.733038,2.6964,0.668625,-2.91148,0.00452221,-0.995315,-0.0864945,0.0429777,0.00482536,-0.96708,-0.248922,-0.0526424,2.69721,0.670689,-2.91732,499
1,-0.698132,0.942478,-0.942478,0.733038,2.64062,0.667705,-2.90674,0.00452221,-0.995315,-0.0864945,0.0429777,0.00239182,-0.967757,-0.250684,-0.0244588,2.64544,0.669869,-2.91252,506
0,-0.942478,0.698132,-0.942478,0.733038,2.69446,0.667723,-2.90766,0.0043877,-0.995174,-0.0888835,0.0413534,0.00415018,-0.966993,-0.250957,-0.0439063,2.69634,0.670097,-2.91546,514
1,-0.698132,0.942478,-0.942478,0.733038,2.63868,0.666823,-2.90309,0.0043877,-0.995174,-0.0888835,0.0413534,0.00171294,-0.967473,-0.252486,-0.0156114,2.64455,0.669272,-2.91078,521
0,-0.942478,0.698132,-0.942478,0.733038,2.69359,0.666974,-2.90606,0.0053854,-0.995164,-0.0893077,0.0405511,0.00455556,-0.966268,-0.253375,-0.0458922,2.6945,0.668884,-2.91164,541
1,-0.698132,0.942478,-0.942478,0.733038,2.6378,0.665969,-2.90159,0.0053854,-0.995164,-0.0893077,0.0405511,0.0021925,-0.966802,-0.254911,-0.0175923,2.6427,0.668035,-2.90717,548
0,-0.942478,0.698132,-0.942478,0.733038,2.69173,0.665487,-2.90268,0.00585934,-0.995106,-0.0904771,0.0392822,0.00443026,-0.967156,-0.250412,-0.0433951,2.69356,0.668258,-2.90975,557
1,-0.698132,0.942478,-0.942478,0.733038,2.63593,0.664436,-2.89837,0.00585934,-0.995106,-0.0904771,0.0392822,0.00221496,-0.967651,-0.25183,-0.0151364,2.64175,0.667384,-2.90539,564
0,-0.942478,0.698132,-0.942478,0.733038,2.6905,0.667283,-2.89957,0.00337934,-0.995231,-0.0884555,0.0409745,0.00422327,-0.968329,-0.246016,-0.0423837,2.69172,0.667129,-2.90614,583
1,-0.698132,0.942478,-0.942478,0.733038,2.63471,0.6665,-2.89503,0.00337934,-0.995231,-0.0884555,0.0409745,0.00222851,-0.968822,-0.24734,-0.0142083,2.6399,0.666244,-2.9019,590
